
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.05758573e-03, 5.76047599e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.43783142e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.06781072e-03, 5.63899517e-01, 6.65424313e-13, 2.22076992e-21, 6.09158991e-13, 5.50211121e+02, 0.00000000e+00, 0.00000000e+00, 1.02348342e-25, 4.69345640e-19, 1.19550221e-01, 1.19550221e-01, 0.00000000e+00, 1.28673333e-25, 8.88918095e-09, 1.54188645e+00, 1.85269373e-16, 3.72828599e-17, 2.96602533e-27, 3.74763296e-08, 1.02938712e-23, 1.66926315e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.09507705e-03, 5.59606850e-01, 7.18515959e-13, 2.18041518e-21, 6.18168656e-13, 5.45457275e+02, 0.00000000e+00, 0.00000000e+00, 1.02852122e-25, 4.53732658e-19, 1.17156528e-01, 1.17156528e-01, 0.00000000e+00, 1.39150515e-25, 8.73581030e-09, 1.52476799e+00, 1.85691698e-16, 4.00125030e-17, 2.23057932e-27, 4.02201366e-08, 1.11320556e-23, 1.87238510e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.13360214e-03, 5.85872173e-01, 7.49599601e-13, 2.09102656e-21, 6.09639888e-13, 5.46371765e+02, 0.00000000e+00, 0.00000000e+00, 1.09271287e-25, 4.56066082e-19, 1.28115371e-01, 1.28115371e-01, 0.00000000e+00, 1.57142744e-25, 1.05017364e-08, 1.51062024e+00, 2.02979706e-16, 4.37205552e-17, 2.49086471e-27, 4.39474270e-08, 1.25714459e-23, 1.79465729e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.24371241e-03, 6.22463346e-01, 8.28394319e-13, 2.09826277e-21, 6.32064334e-13, 5.53189026e+02, 0.00000000e+00, 0.00000000e+00, 1.33687728e-25, 4.92314274e-19, 1.48379833e-01, 1.48379833e-01, 0.00000000e+00, 2.05074364e-25, 1.36407916e-08, 1.49465454e+00, 2.46586246e-16, 5.14112702e-17, 4.21271830e-27, 5.16780538e-08, 1.64059907e-23, 1.31268036e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.51702857e-03, 6.53247774e-01, 1.01613173e-12, 2.32718238e-21, 7.26434050e-13, 5.60311768e+02, 0.00000000e+00, 0.00000000e+00, 1.96276790e-25, 5.79928935e-19, 1.72554657e-01, 1.72554657e-01, 0.00000000e+00, 3.21381341e-25, 1.81027140e-08, 1.47745299e+00, 3.35677966e-16, 6.61926073e-17, 7.59019314e-27, 6.65361028e-08, 2.57105641e-23, 6.76278229e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.13816718e-03, 6.74970508e-01, 1.32609646e-12, 3.07174591e-21, 9.32038518e-13, 5.63302246e+02, 0.00000000e+00, 0.00000000e+00, 3.52478583e-25, 7.95093760e-19, 1.95765361e-01, 1.95765361e-01, 0.00000000e+00, 5.79160032e-25, 2.14835296e-08, 1.48772645e+00, 5.29243497e-16, 8.92138378e-17, 1.23590299e-26, 8.96767745e-08, 4.63328333e-23, 2.64778786e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.92789054e-03, 6.88282788e-01, 1.58967154e-12, 4.09056161e-21, 1.14963128e-12, 5.61607544e+02, 0.00000000e+00, 0.00000000e+00, 5.50630927e-25, 1.07451589e-18, 2.10459486e-01, 2.10459486e-01, 0.00000000e+00, 8.70006491e-25, 2.13911591e-08, 1.52755368e+00, 7.71520913e-16, 1.08882035e-16, 1.53888304e-26, 1.09447036e-07, 6.96004908e-23, 6.46796112e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.79062866e-03, 6.91062510e-01, 1.72620967e-12, 5.07259665e-21, 1.30028388e-12, 5.56670288e+02, 0.00000000e+00, 0.00000000e+00, 7.14879163e-25, 1.32620668e-18, 2.13381246e-01, 2.13381246e-01, 0.00000000e+00, 1.07351249e-24, 1.88458902e-08, 1.57505751e+00, 1.00102100e-15, 1.18668442e-16, 1.46179285e-26, 1.19284223e-07, 8.58808571e-23, 1.01668877e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.28374363e-03, 6.88266277e-01, 1.82566050e-12, 6.27449937e-21, 1.43522856e-12, 5.48762207e+02, 0.00000000e+00, 0.00000000e+00, 8.73243581e-25, 1.61314571e-18, 2.10130423e-01, 2.10130423e-01, 0.00000000e+00, 1.24216602e-24, 1.50375961e-08, 1.63573194e+00, 1.32837445e-15, 1.24999868e-16, 1.15449485e-26, 1.25648540e-07, 9.93729408e-23, 1.34203949e+02
