
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.08138847e-03, 5.84173262e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.27798096e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.09145746e-03, 5.71898997e-01, 4.27330733e-19, 2.54302743e-24, 7.28235306e-16, 5.42962219e+02, 0.00000000e+00, 0.00000000e+00, 1.48300943e-31, 5.90945120e-22, 1.19100198e-01, 1.19100198e-01, 0.00000000e+00, 1.01660666e-34, 5.61102322e-15, 0.00000000e+00, 2.27382826e-19, 2.42806511e-23, 0.00000000e+00, 2.44066479e-14, 8.13267089e-33, 1.65314041e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.11863346e-03, 5.67563593e-01, 4.66178624e-19, 2.51582041e-24, 7.72261590e-16, 5.38352966e+02, 0.00000000e+00, 0.00000000e+00, 1.62044071e-31, 5.75174011e-22, 1.16747841e-01, 1.16747841e-01, 0.00000000e+00, 1.16163660e-34, 5.58010017e-15, 0.00000000e+00, 2.38583523e-19, 2.63319861e-23, 0.00000000e+00, 2.64686242e-14, 9.29290218e-33, 1.85383286e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.15712316e-03, 5.94071865e-01, 4.93738576e-19, 2.42161701e-24, 7.90641782e-16, 5.39275024e+02, 0.00000000e+00, 0.00000000e+00, 1.84660124e-31, 5.80309760e-22, 1.27624080e-01, 1.27624080e-01, 0.00000000e+00, 1.38334586e-34, 6.81383034e-15, 0.00000000e+00, 2.70801639e-19, 2.92079758e-23, 0.00000000e+00, 2.93595375e-14, 1.10665564e-32, 1.77591019e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.26771725e-03, 6.30906701e-01, 5.71496862e-19, 2.42255614e-24, 8.40801485e-16, 5.46006226e+02, 0.00000000e+00, 0.00000000e+00, 2.36102648e-31, 6.25167698e-22, 1.47708565e-01, 1.47708565e-01, 0.00000000e+00, 1.94217587e-34, 9.28087224e-15, 0.00000000e+00, 3.36871011e-19, 3.59843824e-23, 0.00000000e+00, 3.61711088e-14, 1.55371554e-32, 1.29742355e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.54266835e-03, 6.61774993e-01, 8.12986607e-19, 2.64036813e-24, 9.58584010e-16, 5.53057312e+02, 0.00000000e+00, 0.00000000e+00, 3.38738963e-31, 7.24450627e-22, 1.71654016e-01, 1.71654016e-01, 0.00000000e+00, 3.51401501e-34, 1.42619986e-14, 0.00000000e+00, 4.53733898e-19, 5.37470246e-23, 0.00000000e+00, 5.40259399e-14, 2.81118445e-32, 6.66315460e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.16594527e-03, 6.83473170e-01, 1.88626669e-18, 3.34641659e-24, 1.14668356e-15, 5.56050903e+02, 0.00000000e+00, 0.00000000e+00, 5.24802838e-31, 9.53905147e-22, 1.94584519e-01, 1.94584519e-01, 0.00000000e+00, 1.07255952e-33, 2.89904243e-14, 0.00000000e+00, 6.63152145e-19, 1.29070872e-22, 0.00000000e+00, 1.29740633e-13, 8.58042933e-32, 2.63435593e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.95749868e-03, 6.96711600e-01, 3.75012257e-18, 4.31556889e-24, 1.30723188e-15, 5.54418030e+02, 0.00000000e+00, 0.00000000e+00, 7.12907278e-31, 1.24791908e-21, 2.09027097e-01, 2.09027097e-01, 0.00000000e+00, 2.41141958e-33, 4.85754320e-14, 0.00000000e+00, 8.95678612e-19, 2.60320060e-22, 0.00000000e+00, 2.61670893e-13, 1.92912976e-31, 6.43667374e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.82034111e-03, 6.99365020e-01, 5.85249639e-18, 5.25248321e-24, 1.39392771e-15, 5.49590881e+02, 0.00000000e+00, 0.00000000e+00, 8.29518152e-31, 1.50985877e-21, 2.11835995e-01, 2.11835995e-01, 0.00000000e+00, 4.00750710e-33, 6.15451497e-14, 0.00000000e+00, 1.09480870e-18, 4.07027943e-22, 0.00000000e+00, 4.09140088e-13, 3.20600027e-31, 1.01016624e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.31741095e-03, 6.96474671e-01, 8.10878206e-18, 6.38845554e-24, 1.45842281e-15, 5.41842529e+02, 0.00000000e+00, 0.00000000e+00, 9.16448686e-31, 1.80248350e-21, 2.08578303e-01, 2.08578303e-01, 0.00000000e+00, 5.74814240e-33, 6.42936090e-14, 8.38725328e-01, 1.37526046e-18, 5.61679516e-22, 3.33021462e-30, 5.64594107e-13, 4.59850616e-31, 1.33152237e+02
