
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.04015044e-03, 5.70094109e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.55927673e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.05035587e-03, 5.58038533e-01, 2.09032471e-13, 6.82220441e-22, 1.89641299e-13, 5.55641846e+02, 0.00000000e+00, 0.00000000e+00, 9.74034909e-27, 1.43906330e-19, 1.19808078e-01, 1.19808078e-01, 0.00000000e+00, 1.23232769e-26, 2.82795143e-09, 1.53506207e+00, 5.65185844e-17, 1.15898600e-17, 1.20185376e-27, 1.16500027e-08, 9.85862350e-25, 1.68131638e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.07759938e-03, 5.53776503e-01, 2.26143662e-13, 6.70433067e-22, 1.92656533e-13, 5.50777710e+02, 0.00000000e+00, 0.00000000e+00, 9.80883131e-27, 1.39228986e-19, 1.17384247e-01, 1.17384247e-01, 0.00000000e+00, 1.33672804e-26, 2.78352230e-09, 1.51792645e+00, 5.67068309e-17, 1.24624330e-17, 9.03873301e-28, 1.25271029e-08, 1.06938270e-24, 1.88627716e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.11609560e-03, 5.79861939e-01, 2.36546812e-13, 6.43741245e-22, 1.90293920e-13, 5.51685913e+02, 0.00000000e+00, 0.00000000e+00, 1.04569352e-26, 1.40139427e-19, 1.28397182e-01, 1.28397182e-01, 0.00000000e+00, 1.51653687e-26, 3.35514527e-09, 1.50368202e+00, 6.21068247e-17, 1.36557560e-17, 1.01014717e-27, 1.37266181e-08, 1.21322952e-24, 1.80871078e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.22580773e-03, 6.16272330e-01, 2.63229353e-13, 6.47836405e-22, 1.98086000e-13, 5.58567627e+02, 0.00000000e+00, 0.00000000e+00, 1.29093875e-26, 1.51774071e-19, 1.48784086e-01, 1.48784086e-01, 0.00000000e+00, 2.00378266e-26, 4.39039294e-09, 1.48726952e+00, 7.58181375e-17, 1.61765542e-17, 1.70984349e-27, 1.62604969e-08, 1.60302630e-24, 1.32411362e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.49795136e-03, 6.47004306e-01, 3.26648783e-13, 7.22618652e-22, 2.29377932e-13, 5.65745422e+02, 0.00000000e+00, 0.00000000e+00, 1.92591916e-26, 1.79876563e-19, 1.73128024e-01, 1.73128024e-01, 0.00000000e+00, 3.20514586e-26, 5.89527627e-09, 1.46929431e+00, 1.04081258e-16, 2.10780757e-17, 3.09117206e-27, 2.11874500e-08, 2.56411664e-24, 6.83507690e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.11711789e-03, 6.68762088e-01, 4.28366354e-13, 9.57715610e-22, 2.95521474e-13, 5.68729370e+02, 0.00000000e+00, 0.00000000e+00, 3.48639481e-26, 2.47685715e-19, 1.96524113e-01, 1.96524113e-01, 0.00000000e+00, 5.82375392e-26, 7.03469683e-09, 1.47935355e+00, 1.64870066e-16, 2.85539902e-17, 5.04203336e-27, 2.87021589e-08, 4.65900304e-24, 2.65514088e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.90669969e-03, 6.82132959e-01, 5.12744144e-13, 1.27668855e-21, 3.64466188e-13, 5.66977234e+02, 0.00000000e+00, 0.00000000e+00, 5.44742043e-26, 3.35136542e-19, 2.11377323e-01, 2.11377323e-01, 0.00000000e+00, 8.73746098e-26, 6.99691682e-09, 1.51957321e+00, 2.40535096e-16, 3.48057319e-17, 6.28182534e-27, 3.49863392e-08, 6.98996947e-24, 6.48302155e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.77205389e-03, 6.85008645e-01, 5.55736826e-13, 1.58408288e-21, 4.11979289e-13, 5.61949890e+02, 0.00000000e+00, 0.00000000e+00, 7.06746956e-26, 4.13909908e-19, 2.14387685e-01, 2.14387685e-01, 0.00000000e+00, 1.07587488e-25, 6.15040019e-09, 1.56744432e+00, 3.12253243e-16, 3.78695758e-17, 5.97349821e-27, 3.80660872e-08, 8.60699786e-24, 1.02120987e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.26600473e-03, 6.82290018e-01, 5.87239621e-13, 1.96170689e-21, 4.54805681e-13, 5.53920959e+02, 0.00000000e+00, 0.00000000e+00, 8.63854460e-26, 5.04041059e-19, 2.11149991e-01, 2.11149991e-01, 0.00000000e+00, 1.24424048e-25, 4.90111152e-09, 1.62835360e+00, 4.14734780e-16, 3.98580419e-17, 4.72949538e-27, 4.00648759e-08, 9.95392421e-24, 1.34946854e+02
