
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Mass Fraction Of Soot, Nuclei, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.06891294e-03, 5.80431104e-01, 0.00000000e+00, 1.53745176e-11, 7.35055725e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.07926599e-03, 5.68215489e-01, 0.00000000e+00, 1.58519187e-11, 5.46279724e+02, 0.00000000e+00, 3.56677916e-11, 2.25844673e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 2.25844673e-11, 0.00000000e+00, 1.66049454e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.10667062e-03, 5.63899994e-01, 0.00000000e+00, 1.66590561e-11, 5.41604187e+02, 0.00000000e+00, 3.74143112e-11, 2.35315083e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 2.35315083e-11, 0.00000000e+00, 1.86230057e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.14535869e-03, 5.90295434e-01, 0.00000000e+00, 1.73463813e-11, 5.42521912e+02, 0.00000000e+00, 3.88561475e-11, 2.55909530e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 2.55909530e-11, 0.00000000e+00, 1.78448807e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.25599748e-03, 6.27018213e-01, 0.00000000e+00, 1.83435888e-11, 5.49290771e+02, 0.00000000e+00, 4.07840914e-11, 2.85386246e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 2.85386246e-11, 0.00000000e+00, 1.30445419e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.53057140e-03, 6.57844722e-01, 0.00000000e+00, 1.97591093e-11, 5.56371521e+02, 0.00000000e+00, 4.32409560e-11, 3.17364468e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.17364468e-11, 0.00000000e+00, 6.71094818e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.15354425e-03, 6.79548025e-01, 0.00000000e+00, 2.11603547e-11, 5.59363953e+02, 0.00000000e+00, 4.53584358e-11, 3.43780490e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.43780490e-11, 0.00000000e+00, 2.64181290e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.94649324e-03, 6.92833185e-01, 0.00000000e+00, 2.18745352e-11, 5.57698914e+02, 0.00000000e+00, 4.61946557e-11, 3.56872726e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.56872726e-11, 0.00000000e+00, 6.45427322e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.81129564e-03, 6.95560575e-01, 0.00000000e+00, 2.20002454e-11, 5.52815308e+02, 0.00000000e+00, 4.61306514e-11, 3.57780992e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.57780992e-11, 0.00000000e+00, 1.01306152e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.32872558e-03, 6.92804873e-01, 0.00000000e+00, 2.20502835e-11, 5.44930542e+02, 0.00000000e+00, 4.60055466e-11, 3.55394845e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.55394845e-11, 0.00000000e+00, 1.33578400e+02
5.37964795e-03, 0.00000000e+00, 0.00000000e+00, 1.15750199e-02, 6.95201039e-01, 0.00000000e+00, 2.20543531e-11, 5.32515686e+02, 0.00000000e+00, 4.58505491e-11, 3.55413685e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.55413685e-11, 0.00000000e+00, 1.53837418e+02
5.46247652e-03, 0.00000000e+00, 0.00000000e+00, 1.65361539e-02, 7.04675078e-01, 0.00000000e+00, 2.20152143e-11, 5.17032837e+02, 0.00000000e+00, 4.56517601e-11, 3.58686206e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.58686206e-11, 0.00000000e+00, 1.63131424e+02
5.54559333e-03, 0.00000000e+00, 0.00000000e+00, 2.23285407e-02, 7.17654288e-01, 0.00000000e+00, 2.19421547e-11, 5.01747772e+02, 0.00000000e+00, 4.54115703e-11, 3.63361390e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.63361390e-11, 0.00000000e+00, 1.65143982e+02
5.62899979e-03, 0.00000000e+00, 0.00000000e+00, 2.88076904e-02, 7.34373868e-01, 0.00000000e+00, 2.18559823e-11, 4.86976105e+02, 0.00000000e+00, 4.51529404e-11, 3.69702637e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.69702637e-11, 0.00000000e+00, 1.61973663e+02
5.71269635e-03, 0.00000000e+00, 0.00000000e+00, 3.71512845e-02, 7.62687624e-01, 0.00000000e+00, 2.17420231e-11, 4.68321198e+02, 0.00000000e+00, 4.48319992e-11, 3.81201147e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.81201147e-11, 0.00000000e+00, 1.51013718e+02
5.79668395e-03, 0.00000000e+00, 0.00000000e+00, 4.85574976e-02, 8.09290588e-01, 0.00000000e+00, 2.15699732e-11, 4.42504242e+02, 0.00000000e+00, 4.43798852e-11, 4.00381117e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.00381117e-11, 0.00000000e+00, 1.30631409e+02
5.88096445e-03, 0.00000000e+00, 0.00000000e+00, 6.17021434e-02, 8.67831111e-01, 0.00000000e+00, 2.13655291e-11, 4.14051636e+02, 0.00000000e+00, 4.38412744e-11, 4.24133749e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.24133749e-11, 0.00000000e+00, 1.07250267e+02
5.96553786e-03, 0.00000000e+00, 0.00000000e+00, 7.46944621e-02, 9.28313375e-01, 0.00000000e+00, 2.11615638e-11, 3.88245239e+02, 0.00000000e+00, 4.32758759e-11, 4.47866362e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.47866362e-11, 0.00000000e+00, 8.70121002e+01
6.05040602e-03, 0.00000000e+00, 0.00000000e+00, 8.54020417e-02, 9.76496100e-01, 0.00000000e+00, 2.09871495e-11, 3.69815338e+02, 0.00000000e+00, 4.27398845e-11, 4.65347517e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.65347517e-11, 0.00000000e+00, 7.29218903e+01
6.13556942e-03, 0.00000000e+00, 0.00000000e+00, 9.12599787e-02, 9.97886121e-01, 0.00000000e+00, 2.08741722e-11, 3.62287079e+02, 0.00000000e+00, 4.23038930e-11, 4.70755761e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.70755761e-11, 0.00000000e+00, 6.69143677e+01
6.22102898e-03, 0.00000000e+00, 0.00000000e+00, 9.25524756e-02, 9.96919334e-01, 0.00000000e+00, 2.07943975e-11, 3.62960754e+02, 0.00000000e+00, 4.19196726e-11, 4.66052266e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.66052266e-11, 0.00000000e+00, 6.71079788e+01
6.30678656e-03, 0.00000000e+00, 0.00000000e+00, 9.14334655e-02, 9.86658990e-01, 0.00000000e+00, 2.06900920e-11, 3.67079132e+02, 0.00000000e+00, 4.14813739e-11, 4.56440476e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.56440476e-11, 0.00000000e+00, 7.02221756e+01
6.39284216e-03, 0.00000000e+00, 0.00000000e+00, 8.93211439e-02, 9.73246574e-01, 0.00000000e+00, 2.05346955e-11, 3.72406616e+02, 0.00000000e+00, 4.09457260e-11, 4.44420750e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.44420750e-11, 0.00000000e+00, 7.49294434e+01
6.47919765e-03, 0.00000000e+00, 0.00000000e+00, 8.69644508e-02, 9.59228694e-01, 0.00000000e+00, 2.03272191e-11, 3.77989227e+02, 0.00000000e+00, 4.03116221e-11, 4.31230884e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.31230884e-11, 0.00000000e+00, 8.05027847e+01
6.56585349e-03, 0.00000000e+00, 0.00000000e+00, 8.46221149e-02, 9.45409358e-01, 0.00000000e+00, 2.00826161e-11, 3.83513672e+02, 0.00000000e+00, 3.96004826e-11, 4.17514356e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.17514356e-11, 0.00000000e+00, 8.65273132e+01
6.65281108e-03, 0.00000000e+00, 0.00000000e+00, 8.23888853e-02, 9.32067752e-01, 0.00000000e+00, 1.98240764e-11, 3.88879669e+02, 0.00000000e+00, 3.88395011e-11, 4.03708872e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.03708872e-11, 0.00000000e+00, 9.26853333e+01
6.74007088e-03, 0.00000000e+00, 0.00000000e+00, 8.03330615e-02, 9.19375658e-01, 0.00000000e+00, 1.95834442e-11, 3.94045380e+02, 0.00000000e+00, 3.80572518e-11, 3.90189339e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.90189339e-11, 0.00000000e+00, 9.88380508e+01
6.82763522e-03, 0.00000000e+00, 0.00000000e+00, 7.85026476e-02, 9.07485723e-01, 0.00000000e+00, 1.94079197e-11, 3.98969452e+02, 0.00000000e+00, 3.72880893e-11, 3.77356861e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.77356861e-11, 0.00000000e+00, 1.04855125e+02
6.91550365e-03, 0.00000000e+00, 0.00000000e+00, 7.69011229e-02, 8.96379769e-01, 0.00000000e+00, 1.93706058e-11, 4.03652161e+02, 0.00000000e+00, 3.65788372e-11, 3.65646714e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.65646714e-11, 0.00000000e+00, 1.10605812e+02
7.00367847e-03, 0.00000000e+00, 0.00000000e+00, 7.54920170e-02, 8.85869920e-01, 0.00000000e+00, 1.95845128e-11, 4.08157227e+02, 0.00000000e+00, 3.59963205e-11, 3.55602769e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.55602769e-11, 0.00000000e+00, 1.16073723e+02
7.09215971e-03, 0.00000000e+00, 0.00000000e+00, 7.42458105e-02, 8.75842392e-01, 0.00000000e+00, 2.02203705e-11, 4.12545593e+02, 0.00000000e+00, 3.56344711e-11, 3.48038716e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.48038716e-11, 0.00000000e+00, 1.21297394e+02
7.18094921e-03, 0.00000000e+00, 0.00000000e+00, 7.31468126e-02, 8.66274893e-01, 0.00000000e+00, 2.15300850e-11, 4.16841217e+02, 0.00000000e+00, 3.56249717e-11, 3.44136108e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.44136108e-11, 0.00000000e+00, 1.26296570e+02
7.27004791e-03, 0.00000000e+00, 0.00000000e+00, 7.21862838e-02, 8.57108653e-01, 0.00000000e+00, 2.38731951e-11, 4.21066711e+02, 0.00000000e+00, 3.61505131e-11, 3.45502862e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.45502862e-11, 0.00000000e+00, 1.31063339e+02
7.35945627e-03, 0.00000000e+00, 0.00000000e+00, 7.13605583e-02, 8.48261297e-01, 0.00000000e+00, 2.77416718e-11, 4.25244659e+02, 0.00000000e+00, 3.74518402e-11, 3.54224705e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.54224705e-11, 0.00000000e+00, 1.35590714e+02
7.44917616e-03, 0.00000000e+00, 0.00000000e+00, 7.06400946e-02, 8.39596987e-01, 0.00000000e+00, 3.37908174e-11, 4.29420654e+02, 0.00000000e+00, 3.98430629e-11, 3.72964021e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 3.72964021e-11, 0.00000000e+00, 1.39899994e+02
7.53920851e-03, 0.00000000e+00, 0.00000000e+00, 6.99928924e-02, 8.30987751e-01, 0.00000000e+00, 4.28512711e-11, 4.33656311e+02, 0.00000000e+00, 4.37291592e-11, 4.05107059e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.05107059e-11, 0.00000000e+00, 1.44043945e+02
7.62955379e-03, 0.00000000e+00, 0.00000000e+00, 6.94265291e-02, 8.22449982e-01, 0.00000000e+00, 5.59505081e-11, 4.37966644e+02, 0.00000000e+00, 4.94811275e-11, 4.53646877e-11, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 4.53646877e-11, 0.00000000e+00, 1.48002335e+02
