
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.06493200e-03, 5.79577982e-01, 7.36726624e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.07522125e-03, 5.67375839e-01, 5.47040405e+02, 0.00000000e+00, 1.42623323e-14, 8.56384276e-15, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 8.56384276e-15, 0.00000000e+00, 1.66218307e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.10253089e-03, 5.63065469e-01, 5.42350037e+02, 0.00000000e+00, 1.50140537e-14, 8.95530412e-15, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 8.95530412e-15, 0.00000000e+00, 1.86423233e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.14108485e-03, 5.89436650e-01, 5.43267639e+02, 0.00000000e+00, 1.56701536e-14, 9.78824498e-15, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 9.78824498e-15, 0.00000000e+00, 1.78641663e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.25139908e-03, 6.26133621e-01, 5.50046753e+02, 0.00000000e+00, 1.66805216e-14, 1.10733363e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.10733363e-14, 0.00000000e+00, 1.30598526e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.52529313e-03, 6.56948447e-01, 5.57137207e+02, 0.00000000e+00, 1.81980743e-14, 1.26718577e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.26718577e-14, 0.00000000e+00, 6.72041168e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.14814537e-03, 6.78653896e-01, 5.60128235e+02, 0.00000000e+00, 1.96809749e-14, 1.41507306e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.41507306e-14, 0.00000000e+00, 2.64405079e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.93873113e-03, 6.91932619e-01, 5.58463989e+02, 0.00000000e+00, 2.03804614e-14, 1.49342158e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.49342158e-14, 0.00000000e+00, 6.45974426e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.80002617e-03, 6.94649458e-01, 5.53580383e+02, 0.00000000e+00, 2.04595201e-14, 1.50506930e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.50506930e-14, 0.00000000e+00, 1.01405525e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.29283148e-03, 6.91794515e-01, 5.45751343e+02, 0.00000000e+00, 2.04622628e-14, 1.49908823e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.49908823e-14, 0.00000000e+00, 1.33760208e+02
5.37964795e-03, 0.00000000e+00, 0.00000000e+00, 1.15064783e-02, 6.94064260e-01, 5.33396179e+02, 0.00000000e+00, 2.04267060e-14, 1.50138098e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.50138098e-14, 0.00000000e+00, 1.54119293e+02
5.46247652e-03, 0.00000000e+00, 0.00000000e+00, 1.64656360e-02, 7.03534365e-01, 5.17872925e+02, 0.00000000e+00, 2.03584674e-14, 1.51676750e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.51676750e-14, 0.00000000e+00, 1.63460129e+02
5.54559333e-03, 0.00000000e+00, 0.00000000e+00, 2.22661793e-02, 7.16536045e-01, 5.02523804e+02, 0.00000000e+00, 2.02644027e-14, 1.53764618e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.53764618e-14, 0.00000000e+00, 1.65476730e+02
5.62899979e-03, 0.00000000e+00, 0.00000000e+00, 2.87459213e-02, 7.33259916e-01, 4.87704254e+02, 0.00000000e+00, 2.01585913e-14, 1.56530588e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.56530588e-14, 0.00000000e+00, 1.62302612e+02
5.71269635e-03, 0.00000000e+00, 0.00000000e+00, 3.71095017e-02, 7.61610687e-01, 4.68977661e+02, 0.00000000e+00, 2.00225866e-14, 1.61474736e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.61474736e-14, 0.00000000e+00, 1.51308563e+02
5.79668395e-03, 0.00000000e+00, 0.00000000e+00, 4.85410653e-02, 8.08263361e-01, 4.43055023e+02, 0.00000000e+00, 1.98256396e-14, 1.69664121e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.69664121e-14, 0.00000000e+00, 1.30905685e+02
5.88096445e-03, 0.00000000e+00, 0.00000000e+00, 6.17274120e-02, 8.66887629e-01, 4.14490906e+02, 0.00000000e+00, 1.95865510e-14, 1.79770410e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.79770410e-14, 0.00000000e+00, 1.07507164e+02
5.96553786e-03, 0.00000000e+00, 0.00000000e+00, 7.47684985e-02, 9.27405477e-01, 3.88628540e+02, 0.00000000e+00, 1.93311164e-14, 1.89814222e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.89814222e-14, 0.00000000e+00, 8.72348938e+01
6.05040602e-03, 0.00000000e+00, 0.00000000e+00, 8.54845122e-02, 9.75626945e-01, 3.70180145e+02, 0.00000000e+00, 1.90876638e-14, 1.97189473e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.97189473e-14, 0.00000000e+00, 7.31806107e+01
6.13556942e-03, 0.00000000e+00, 0.00000000e+00, 9.13619399e-02, 9.97272253e-01, 3.62577423e+02, 0.00000000e+00, 1.89030666e-14, 1.99635112e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.99635112e-14, 0.00000000e+00, 6.71521988e+01
6.22102898e-03, 0.00000000e+00, 0.00000000e+00, 9.27193910e-02, 9.96745944e-01, 3.63100372e+02, 0.00000000e+00, 1.88094915e-14, 1.98545200e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.98545200e-14, 0.00000000e+00, 6.72093887e+01
6.30678656e-03, 0.00000000e+00, 0.00000000e+00, 9.16825831e-02, 9.86839592e-01, 3.67084015e+02, 0.00000000e+00, 1.88942795e-14, 1.97450021e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.97450021e-14, 0.00000000e+00, 7.02533493e+01
6.39284216e-03, 0.00000000e+00, 0.00000000e+00, 8.96334946e-02, 9.73603606e-01, 3.72349213e+02, 0.00000000e+00, 1.93984724e-14, 1.99977991e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.99977991e-14, 0.00000000e+00, 7.49743576e+01
6.47919765e-03, 0.00000000e+00, 0.00000000e+00, 8.72946084e-02, 9.59681928e-01, 3.77909912e+02, 0.00000000e+00, 2.07658547e-14, 2.10972207e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 2.10972207e-14, 0.00000000e+00, 8.05411224e+01
6.56585349e-03, 0.00000000e+00, 0.00000000e+00, 8.49286020e-02, 9.45854366e-01, 3.83446228e+02, 0.00000000e+00, 2.37230517e-14, 2.37480256e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 2.37480256e-14, 0.00000000e+00, 8.65314102e+01
6.65281108e-03, 0.00000000e+00, 0.00000000e+00, 8.26754868e-02, 9.32522118e-01, 3.88815033e+02, 0.00000000e+00, 2.93818687e-14, 2.89905395e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 2.89905395e-14, 0.00000000e+00, 9.26577835e+01
6.74007088e-03, 0.00000000e+00, 0.00000000e+00, 8.06156620e-02, 9.19840634e-01, 3.93965546e+02, 0.00000000e+00, 3.86394204e-14, 3.76024725e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 3.76024725e-14, 0.00000000e+00, 9.87062988e+01
6.82763522e-03, 0.00000000e+00, 0.00000000e+00, 7.87698776e-02, 9.07803237e-01, 3.98903839e+02, 0.00000000e+00, 5.40159280e-14, 5.18682760e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 5.18682760e-14, 0.00000000e+00, 1.04599060e+02
6.91550365e-03, 0.00000000e+00, 0.00000000e+00, 7.71410093e-02, 8.96476448e-01, 4.03639557e+02, 0.00000000e+00, 9.29665822e-14, 8.80901865e-14, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 8.80901865e-14, 0.00000000e+00, 1.10330536e+02
7.00367847e-03, 0.00000000e+00, 0.00000000e+00, 7.57035762e-02, 8.85824978e-01, 4.08207336e+02, 0.00000000e+00, 1.92784712e-13, 1.80461806e-13, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, null, null, 1.80461806e-13, 0.00000000e+00, 1.15846954e+02
