
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.04015044e-03, 5.70088565e-01, 7.55932556e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.05035587e-03, 5.58031142e-01, 5.55649231e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.68131638e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.07759938e-03, 5.53767383e-01, 5.50786865e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.88627716e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.11609560e-03, 5.79854310e-01, 5.51693237e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.80871078e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.22580773e-03, 6.16267860e-01, 5.58571838e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.32411362e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.49795136e-03, 6.47003889e-01, 5.65745850e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 6.83507690e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.11711789e-03, 6.68762982e-01, 5.68728516e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 2.65514088e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.90669969e-03, 6.82137787e-01, 5.66973328e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 6.48302155e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.77205389e-03, 6.85027778e-01, 5.61934204e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.02120987e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.26600473e-03, 6.82323813e-01, 5.53893494e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.34946854e+02
5.37964795e-03, 0.00000000e+00, 0.00000000e+00, 1.15066087e-02, 6.84697449e-01, 5.41176147e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.55660965e+02
5.46247652e-03, 0.00000000e+00, 0.00000000e+00, 1.65138375e-02, 6.94259226e-01, 5.25169739e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.65213089e+02
5.54559333e-03, 0.00000000e+00, 0.00000000e+00, 2.23723277e-02, 7.07342207e-01, 5.09354462e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0, 0, 0.00000000e+00, 0.00000000e+00, 1.67331482e+02
