
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.08207998e-03, 5.84617555e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.26927917e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.09233477e-03, 5.72337091e-01, 1.02979335e-14, 3.50169550e-23, 9.51863947e-15, 5.42569275e+02, 0.00000000e+00, 0.00000000e+00, 2.56001710e-29, 1.35640221e-20, 1.19076893e-01, 1.19076893e-01, 0.00000000e+00, 3.20529030e-29, 1.35099584e-10, 1.54657280e+00, 2.97906223e-18, 5.85576975e-19, 3.14660420e-29, 5.88615601e-10, 2.56429868e-27, 1.65226547e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.11965931e-03, 5.68000853e-01, 1.12171049e-14, 3.45054891e-23, 9.71668509e-15, 5.37967590e+02, 0.00000000e+00, 0.00000000e+00, 2.60326326e-29, 1.31486231e-20, 1.16727106e-01, 1.16727106e-01, 0.00000000e+00, 3.51885005e-29, 1.34138076e-10, 1.52822602e+00, 3.00457372e-18, 6.34074420e-19, 2.38019272e-29, 6.37364661e-10, 2.81514933e-27, 1.85281631e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.15827706e-03, 5.94523907e-01, 1.18537848e-14, 3.32710922e-23, 9.66231574e-15, 5.38889832e+02, 0.00000000e+00, 0.00000000e+00, 2.81039491e-29, 1.32897527e-20, 1.27599359e-01, 1.27599359e-01, 0.00000000e+00, 4.05881490e-29, 1.63414574e-10, 1.51261330e+00, 3.31067542e-18, 7.01736915e-19, 2.68003744e-29, 7.05378422e-10, 3.24712983e-27, 1.77486404e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.26909560e-03, 6.31372809e-01, 1.36233256e-14, 3.39586318e-23, 1.02589996e-14, 5.45615967e+02, 0.00000000e+00, 0.00000000e+00, 3.61078823e-29, 1.46155318e-20, 1.47674590e-01, 1.47674590e-01, 0.00000000e+00, 5.66415034e-29, 2.20935062e-10, 1.49348617e+00, 4.11989464e-18, 8.58295063e-19, 4.65665786e-29, 8.62748817e-10, 4.53143660e-27, 1.29654572e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.54455847e-03, 6.62246883e-01, 1.88042161e-14, 3.96384398e-23, 1.26528037e-14, 5.52662109e+02, 0.00000000e+00, 0.00000000e+00, 6.13950114e-29, 1.81467610e-20, 1.71609029e-01, 1.71609029e-01, 0.00000000e+00, 1.08661750e-28, 3.29381411e-10, 1.46767175e+00, 6.02645124e-18, 1.24356751e-18, 8.95746466e-29, 1.25002064e-09, 8.69325565e-27, 6.65694427e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.16823446e-03, 6.83945179e-01, 2.99454031e-14, 5.96020197e-23, 1.88228814e-14, 5.55654785e+02, 0.00000000e+00, 0.00000000e+00, 1.50902642e-28, 2.83540873e-20, 1.94524109e-01, 1.94524109e-01, 0.00000000e+00, 2.82281939e-28, 4.70748163e-10, 1.46744895e+00, 1.10645920e-17, 2.04424846e-18, 1.66816553e-28, 2.05485606e-09, 2.25833636e-26, 2.63350143e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.95976459e-03, 6.97178483e-01, 4.09270498e-14, 8.76918482e-23, 2.58843291e-14, 5.54025757e+02, 0.00000000e+00, 0.00000000e+00, 2.83983763e-28, 4.22659308e-20, 2.08951995e-01, 2.08951995e-01, 0.00000000e+00, 5.20683923e-28, 5.38144862e-10, 1.50215268e+00, 1.78371887e-17, 2.84006756e-18, 2.28620957e-28, 2.85480506e-09, 4.16562654e-26, 6.43478165e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.82218047e-03, 6.99822783e-01, 4.72560325e-14, 1.15072996e-22, 3.09693609e-14, 5.49206848e+02, 0.00000000e+00, 0.00000000e+00, 4.10942557e-28, 5.51141589e-20, 2.11755246e-01, 2.11755246e-01, 0.00000000e+00, 7.19541631e-28, 5.04518982e-10, 1.54899323e+00, 2.44355291e-17, 3.28961003e-18, 2.29015315e-28, 3.30668026e-09, 5.75657441e-26, 1.00981911e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.32569692e-03, 6.96958542e-01, 5.20487448e-14, 1.48864503e-22, 3.56038983e-14, 5.41448608e+02, 0.00000000e+00, 0.00000000e+00, 5.44224421e-28, 6.99794798e-20, 2.08497897e-01, 2.08497897e-01, 0.00000000e+00, 9.01908756e-28, 4.19028340e-10, 1.61083174e+00, 3.37997910e-17, 3.60854234e-18, 1.88065579e-28, 3.62726738e-09, 7.21561702e-26, 1.33082306e+02
