
[Name]
Line 1

[Data]
X [ m ], Y [ m ], Z [ m ], C8h10.Mass Fraction, Density [ kg m^-3 ], Scalar 0, Scalar 1, Scalar 2, Temperature [ K ], User Defined Memory 0, User Defined Memory 1, User Defined Memory 10, User Defined Memory 11, User Defined Memory 12, User Defined Memory 13, User Defined Memory 14, User Defined Memory 2, User Defined Memory 3, User Defined Memory 4, User Defined Memory 5, User Defined Memory 6, User Defined Memory 7, User Defined Memory 8, User Defined Memory 9, Velocity [ m s^-1 ]
4.56700008e-03, 0.00000000e+00, 0.00000000e+00, 4.07053437e-03, 5.80931962e-01, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 7.34069641e+02, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00, 0.00000000e+00
4.64700023e-03, 0.00000000e+00, 0.00000000e+00, 4.08079894e-03, 5.68709195e-01, 4.34405531e-19, 2.35070531e-24, 6.80160733e-16, 5.45833740e+02, 0.00000000e+00, 0.00000000e+00, 1.27956522e-31, 4.97512636e-22, 1.19315542e-01, 1.19315542e-01, 0.00000000e+00, 9.50436487e-35, 5.72397210e-15, 0.00000000e+00, 2.09936423e-19, 2.45446529e-23, 0.00000000e+00, 2.46720216e-14, 7.63277722e-33, 1.65946243e+02
4.72727837e-03, 0.00000000e+00, 0.00000000e+00, 4.10811184e-03, 5.64391494e-01, 4.74351013e-19, 2.32567357e-24, 7.21311711e-16, 5.41167786e+02, 0.00000000e+00, 0.00000000e+00, 1.39824924e-31, 4.84782113e-22, 1.16946422e-01, 1.16946422e-01, 0.00000000e+00, 1.08718166e-34, 5.69633850e-15, 0.00000000e+00, 2.20292001e-19, 2.66440295e-23, 0.00000000e+00, 2.67822907e-14, 8.73061621e-33, 1.86110672e+02
4.80783638e-03, 0.00000000e+00, 0.00000000e+00, 4.14670771e-03, 5.90801656e-01, 5.02931448e-19, 2.23871803e-24, 7.38496104e-16, 5.42086548e+02, 0.00000000e+00, 0.00000000e+00, 1.59380683e-31, 4.89059380e-22, 1.27857924e-01, 1.27857924e-01, 0.00000000e+00, 1.29642792e-34, 6.96331513e-15, 0.00000000e+00, 2.50105244e-19, 2.95885412e-23, 0.00000000e+00, 2.97420813e-14, 1.04105666e-32, 1.78326447e+02
4.88867471e-03, 0.00000000e+00, 0.00000000e+00, 4.25719656e-03, 6.27537370e-01, 5.83161505e-19, 2.23947395e-24, 7.85253435e-16, 5.48851013e+02, 0.00000000e+00, 0.00000000e+00, 2.03809914e-31, 5.26035221e-22, 1.48017690e-01, 1.48017690e-01, 0.00000000e+00, 1.82399771e-34, 9.50284569e-15, 0.00000000e+00, 3.11211997e-19, 3.65242599e-23, 0.00000000e+00, 3.67137927e-14, 1.46465450e-32, 1.30342041e+02
4.96979430e-03, 0.00000000e+00, 0.00000000e+00, 4.53148270e-03, 6.58365011e-01, 8.32368793e-19, 2.44008187e-24, 8.94899626e-16, 5.55929321e+02, 0.00000000e+00, 0.00000000e+00, 2.92301058e-31, 6.08466415e-22, 1.72053039e-01, 1.72053039e-01, 0.00000000e+00, 3.31171381e-34, 1.46579644e-14, 0.00000000e+00, 4.19175120e-19, 5.47477294e-23, 0.00000000e+00, 5.50318356e-14, 2.65920126e-32, 6.70343323e+01
5.05119655e-03, 0.00000000e+00, 0.00000000e+00, 5.15484298e-03, 6.80066228e-01, 1.95240639e-18, 3.09392904e-24, 1.07055764e-15, 5.58920288e+02, 0.00000000e+00, 0.00000000e+00, 4.53168777e-31, 8.01143457e-22, 1.95103496e-01, 1.95103496e-01, 0.00000000e+00, 1.02320612e-33, 3.01147826e-14, 0.00000000e+00, 6.13142459e-19, 1.32944040e-22, 0.00000000e+00, 1.33633894e-13, 8.21380851e-32, 2.64108181e+01
5.13288192e-03, 0.00000000e+00, 0.00000000e+00, 5.94718708e-03, 6.93337917e-01, 3.90792423e-18, 3.99273625e-24, 1.22083049e-15, 5.57260742e+02, 0.00000000e+00, 0.00000000e+00, 6.16152761e-31, 1.04935979e-21, 2.09656239e-01, 2.09656239e-01, 0.00000000e+00, 2.31661486e-33, 5.08206148e-14, 0.00000000e+00, 8.28916554e-19, 2.69967942e-22, 0.00000000e+00, 2.71368811e-13, 1.85922170e-31, 6.45253296e+01
5.21485135e-03, 0.00000000e+00, 0.00000000e+00, 6.81072287e-03, 6.96045220e-01, 6.12801661e-18, 4.86176356e-24, 1.30203109e-15, 5.52388367e+02, 0.00000000e+00, 0.00000000e+00, 7.17344158e-31, 1.27175546e-21, 2.12506011e-01, 2.12506011e-01, 0.00000000e+00, 3.87031184e-33, 6.47000764e-14, 0.00000000e+00, 1.01387745e-18, 4.24165132e-22, 0.00000000e+00, 4.26366191e-13, 3.10548868e-31, 1.01277786e+02
5.29710669e-03, 0.00000000e+00, 0.00000000e+00, 8.31830688e-03, 6.93238616e-01, 8.52472404e-18, 5.91697862e-24, 1.36257532e-15, 5.44544434e+02, 0.00000000e+00, 0.00000000e+00, 7.93031089e-31, 1.52211623e-21, 2.09247053e-01, 2.09247053e-01, 0.00000000e+00, 5.57678765e-33, 6.77866034e-14, 0.00000000e+00, 1.27602287e-18, 5.87746510e-22, 0.00000000e+00, 5.90796346e-13, 4.47403541e-31, 1.33550293e+02
5.37964795e-03, 0.00000000e+00, 0.00000000e+00, 1.15576535e-02, 6.95604801e-01, 1.07669212e-17, 7.32715860e-24, 1.40550835e-15, 5.32167236e+02, 0.00000000e+00, 0.00000000e+00, 8.65789581e-31, 1.85415301e-21, 2.04176784e-01, 2.04176784e-01, 0.00000000e+00, 7.31877770e-33, 5.71303123e-14, 0.00000000e+00, 1.82375954e-18, 7.45472243e-22, 0.00000000e+00, 7.49340531e-13, 5.87099431e-31, 1.53817154e+02
5.46247652e-03, 0.00000000e+00, 0.00000000e+00, 1.65197104e-02, 7.05086946e-01, 1.26686243e-17, 9.27577520e-24, 1.43421101e-15, 5.16701965e+02, 0.00000000e+00, 0.00000000e+00, 9.45875165e-31, 2.31985004e-21, 1.99280813e-01, 1.99280813e-01, 0.00000000e+00, 9.02346418e-33, 4.22883062e-14, 9.64887321e-01, 2.69204566e-18, 8.89111823e-22, 8.16422204e-31, 8.93725577e-13, 7.23813515e-31, 1.63100220e+02
5.54559333e-03, 0.00000000e+00, 0.00000000e+00, 2.23061666e-02, 7.18064189e-01, 1.43043632e-17, 1.19045658e-23, 1.45400320e-15, 5.01444489e+02, 0.00000000e+00, 0.00000000e+00, 1.03297290e-30, 2.95569041e-21, 1.95205241e-01, 1.95205241e-01, 0.00000000e+00, 1.07107739e-32, 3.18558724e-14, 2.01504016e+00, 3.76444272e-18, 1.02238978e-21, 1.19610274e-30, 1.02769507e-12, 8.59143336e-31, 1.65106323e+02
5.62899979e-03, 0.00000000e+00, 0.00000000e+00, 2.87848450e-02, 7.34809160e-01, 1.60473353e-17, 1.54316024e-23, 1.47123567e-15, 4.86685181e+02, 0.00000000e+00, 0.00000000e+00, 1.13720427e-30, 3.82298282e-21, 1.92435622e-01, 1.92435622e-01, 0.00000000e+00, 1.27394538e-32, 2.51617981e-14, 2.18815994e+00, 5.07284599e-18, 1.17396649e-21, 5.47143626e-31, 1.18005844e-12, 1.02184558e-30, 1.61917633e+02
5.71269635e-03, 0.00000000e+00, 0.00000000e+00, 3.71486172e-02, 7.63199210e-01, 1.83133966e-17, 2.04358441e-23, 1.48888762e-15, 4.68011383e+02, 0.00000000e+00, 0.00000000e+00, 1.28904156e-30, 5.08728517e-21, 1.90893114e-01, 1.90893114e-01, 0.00000000e+00, 1.59135340e-32, 2.06659996e-14, 2.39224863e+00, 7.02945695e-18, 1.39287734e-21, 2.09535183e-31, 1.40010529e-12, 1.27638712e-30, 1.50907196e+02
5.79668395e-03, 0.00000000e+00, 0.00000000e+00, 4.85796593e-02, 8.09880137e-01, 2.17724360e-17, 2.80668506e-23, 1.50848108e-15, 4.42183746e+02, 0.00000000e+00, 0.00000000e+00, 1.52431750e-30, 7.06764603e-21, 1.89850613e-01, 1.89850613e-01, 0.00000000e+00, 2.16785462e-32, 1.76187308e-14, 2.64561582e+00, 1.02170305e-17, 1.76009757e-21, 4.43450307e-32, 1.76923081e-12, 1.73865207e-30, 1.30525391e+02
5.88096445e-03, 0.00000000e+00, 0.00000000e+00, 6.17557690e-02, 8.68464291e-01, 2.86669632e-17, 3.97982788e-23, 1.53842476e-15, 4.13758575e+02, 0.00000000e+00, 0.00000000e+00, 1.86454300e-30, 1.01667250e-20, 1.89074427e-01, 1.89074427e-01, 0.00000000e+00, 3.37018227e-32, 1.71874691e-14, 2.95111704e+00, 1.47274562e-17, 2.49120143e-21, 5.08250476e-33, 2.50412885e-12, 2.70259881e-30, 1.07179611e+02
5.96553786e-03, 0.00000000e+00, 0.00000000e+00, 7.47536644e-02, 9.28933859e-01, 4.71507210e-17, 5.70248490e-23, 1.59586577e-15, 3.87991638e+02, 0.00000000e+00, 0.00000000e+00, 2.34994430e-30, 1.47757867e-20, 1.88898459e-01, 1.88898459e-01, 0.00000000e+00, 6.65943940e-32, 2.21628051e-14, 3.28612065e+00, 2.04770182e-17, 4.39774935e-21, 4.65419769e-34, 4.42056981e-12, 5.33939138e-30, 8.69228821e+01
6.05040602e-03, 0.00000000e+00, 0.00000000e+00, 8.54210258e-02, 9.77046669e-01, 1.07043239e-16, 8.05472549e-23, 1.72425563e-15, 3.69602936e+02, 0.00000000e+00, 0.00000000e+00, 3.10812217e-30, 2.10953836e-20, 1.89915419e-01, 1.89915419e-01, 0.00000000e+00, 1.83052882e-31, 4.29478976e-14, 3.59471869e+00, 2.72572059e-17, 1.04889394e-20, 5.35002606e-35, 1.05433665e-11, 1.46738137e-29, 7.28524933e+01
6.13556942e-03, 0.00000000e+00, 0.00000000e+00, 9.12475809e-02, 9.98429120e-01, 3.07256384e-16, 1.12127641e-22, 2.05291119e-15, 3.62094452e+02, 0.00000000e+00, 0.00000000e+00, 4.71860209e-30, 2.95026309e-20, 1.92741424e-01, 1.92741424e-01, 0.00000000e+00, 6.66729017e-31, 1.19986052e-13, 3.79218650e+00, 3.57283427e-17, 3.05628567e-20, 2.32576493e-35, 3.07214497e-11, 5.34325851e-29, 6.69177399e+01
